numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
12.0;5500;gusanoInv;0, 3, 2, 1, 2, -1, -1, 1, 1, -1, -1, 2;1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0129, 0.0072, 0.007, 0.0062, 0.0066, 0.0126, 0.0096, 0.0071, 0.0062, 0.006, 0.0059, 0.006
12.0;6000;gusanoInv;1, 2, 3, 1, 1, -1, 0, 1, 1, -1, -1, 2;3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0135, 0.0077, 0.0077, 0.007, 0.0097, 0.0125, 0.0105, 0.0069, 0.0057, 0.0058, 0.0057, 0.0062
12.0;6500;gusanoInv;1, 2, 3, 1, 1, 0, -1, 1, 1, -1, -1, 2;3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0133, 0.0063, 0.0061, 0.0064, 0.006, 0.0107, 0.0085, 0.0056, 0.0056, 0.0046, 0.0047, 0.0054
13.0;7000;gusanoInv;3, 1, 2, 1, 1, -1, 2, -1, 1, 0, -1, 0, 0;3, 3, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0114, 0.006, 0.0064, 0.0061, 0.0059, 0.0102, 0.0058, 0.0101, 0.0047, 0.005, 0.0048, 0.0052, 0.0066
13.0;7500;gusanoInv;3, 1, 2, 1, 0, 2, 1, 0, 1, 0, -1, 0, 0;3, 3, 1, 1, 3, 3, 1, 3, 1, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0115, 0.0062, 0.0061, 0.0061, 0.011, 0.006, 0.0059, 0.009, 0.0055, 0.0059, 0.006, 0.0056, 0.0062
13.0;8000;gusanoInv;3, 1, 2, 2, 2, 0, 1, -1, 1, 0, -1, 0, 0;3, 3, 1, 3, 3, 3, 1, 1, 1, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0118, 0.0062, 0.0066, 0.0061, 0.0059, 0.0104, 0.0059, 0.0088, 0.0058, 0.0059, 0.0058, 0.0056, 0.0062
13.0;8500;gusanoInv;2, 1, 3, 2, -1, 1, -1, 1, 1, 0, -1, 0, 0;1, 3, 3, 3, 1, 1, 1, 1, 1, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.014, 0.0073, 0.0071, 0.0076, 0.0128, 0.0073, 0.0105, 0.0066, 0.0072, 0.0072, 0.0057, 0.0054, 0.006
13.0;9000;gusanoInv;0, 2, 3, 1, 2, 0, 1, 0, 1, -1, -1, 0, 0;1, 1, 3, 1, 3, 3, 1, 3, 1, 1, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0092, 0.0056, 0.005, 0.0049, 0.0049, 0.0087, 0.0048, 0.0079, 0.0044, 0.0048, 0.0047, 0.006, 0.005
13.0;9500;gusanoInv;0, 3, 3, 1, 1, 0, 1, 0, 1, 0, -1, 0, 1;1, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0133, 0.0064, 0.0063, 0.006, 0.0059, 0.011, 0.006, 0.0102, 0.0056, 0.0061, 0.0064, 0.0058, 0.0061
13.0;10000;gusanoInv;3, 2, 0, 1, 2, -1, 2, -1, 2, 0, -1, 0, 1;3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0104, 0.0066, 0.0076, 0.0055, 0.0056, 0.0104, 0.0055, 0.0087, 0.0094, 0.0057, 0.0059, 0.0054, 0.0061
13.0;10500;gusanoInv;3, 2, 0, 2, -1, 1, 2, -1, 2, 0, -1, 0, 2;3, 1, 1, 3, 1, 1, 3, 1, 3, 3, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0111, 0.0056, 0.005, 0.0049, 0.0083, 0.0054, 0.0049, 0.0074, 0.0045, 0.0048, 0.0053, 0.0048, 0.0054
13.0;11000;gusanoInv;3, 2, 0, 2, -1, 1, -1, 2, 1, -1, -1, 0, 2;3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 3, 1;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.011, 0.0062, 0.0061, 0.0057, 0.0103, 0.0062, 0.0088, 0.0056, 0.0056, 0.0056, 0.0059, 0.0065, 0.0051
13.0;11500;gusanoInv;2, 2, 0, 2, -1, 1, 2, -1, 1, -1, -1, 0, 2;1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 2;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0094, 0.0048, 0.0049, 0.0048, 0.0083, 0.0051, 0.0047, 0.0076, 0.0044, 0.0165, 0.0312, 0.0066, 0.0068
13.0;12000;gusanoInv;2, 2, 0, 1, 2, 0, 2, 0, 2, 0, 0, 0, 1;1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0095, 0.0247, 0.008, 0.0049, 0.0056, 0.009, 0.005, 0.0072, 0.0054, 0.0053, 0.077, 0.0052, 0.0053
13.0;12500;gusanoInv;2, 2, 0, 1, 2, 0, -1, 1, 2, 0, 0, -1, 0;1, 1, 1, 1, 3, 3, 1, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0132, 0.0049, 0.0045, 0.0046, 0.0046, 0.0084, 0.0092, 0.0043, 0.0078, 0.0044, 0.0046, 0.0045, 0.0051
13.0;13000;gusanoInv;2, 2, 0, 1, 0, 1, -1, 1, 2, 0, 0, -1, 0;1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0108, 0.0053, 0.005, 0.005, 0.0094, 0.008, 0.0076, 0.0048, 0.0056, 0.0085, 0.005, 0.0056, 0.006
13.0;13500;gusanoInv;2, 2, 0, 1, 0, 1, 0, 1, 2, 0, 0, -1, 0;1, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0135, 0.0071, 0.0065, 0.0065, 0.0114, 0.0068, 0.0112, 0.0054, 0.0055, 0.0056, 0.0057, 0.0068, 0.0063
13.0;14000;gusanoInv;2, 2, 0, 1, -1, 1, 0, 1, 2, 0, 0, -1, 0;1, 1, 1, 1, 1, 1, 3, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0112, 0.0052, 0.0049, 0.0046, 0.0097, 0.0049, 0.0072, 0.0046, 0.0048, 0.0045, 0.0046, 0.0053, 0.0055
13.0;14500;gusanoInv;2, 2, 0, 1, -1, 1, 0, 1, 2, 0, 0, -1, 0;1, 1, 1, 1, 1, 1, 3, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0235, 0.0051, 0.0046, 0.005, 0.008, 0.0051, 0.0073, 0.0043, 0.0047, 0.0045, 0.005, 0.0045, 0.0051
13.0;15000;gusanoInv;3, 3, 1, 1, 2, -1, 0, 1, 2, 0, 0, -1, 0;3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0109, 0.0048, 0.0062, 0.0048, 0.0045, 0.0091, 0.0071, 0.0046, 0.0041, 0.007, 0.0048, 0.0044, 0.0051
13.0;15500;gusanoInv;3, 3, 1, 1, 2, -1, -1, 1, 2, 0, 0, -1, 0;3, 3, 3, 1, 3, 1, 1, 1, 3, 3, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0114, 0.0064, 0.0058, 0.0061, 0.0058, 0.0104, 0.0091, 0.0058, 0.0054, 0.0055, 0.0058, 0.0055, 0.0065
13.0;16000;gusanoInv;2, 2, 1, 1, 1, -1, -1, 2, 1, -1, 0, -1, 0;1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0112, 0.0054, 0.0057, 0.0052, 0.0054, 0.0108, 0.0078, 0.0052, 0.0059, 0.0052, 0.0055, 0.0053, 0.0053
14.0;16500;gusanoInv;2, 2, 1, 1, 1, -1, -1, 1, 1, 3, 0, 2, 1, 0;1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0115, 0.0062, 0.0062, 0.0056, 0.0057, 0.0124, 0.0098, 0.0064, 0.009, 0.0061, 0.0062, 0.0057, 0.0049, 0.0051
14.0;17000;gusanoInv;2, 3, 1, 1, -1, 1, -1, 1, 0, 3, 0, 2, 1, 0;1, 3, 3, 1, 1, 1, 1, 3, 1, 3, 3, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0118, 0.0062, 0.0063, 0.0061, 0.0114, 0.0066, 0.0091, 0.0057, 0.0064, 0.0063, 0.0076, 0.0077, 0.0062, 0.0075
12.0;17500;gusanoInv;2, 2, 0, 1, 1, -1, -1, 1, 0, 0, 2, 3;1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 0, 3;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0123, 0.0068, 0.0065, 0.0063, 0.0063, 0.015, 0.0092, 0.0066, 0.005, 0.0055, 0.008, 0.0051
12.0;18000;gusanoInv;2, 2, 0, 1, 1, -1, -1, 1, 0, -1, 2, 0;1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.012, 0.0063, 0.0058, 0.006, 0.0057, 0.0103, 0.0093, 0.0059, 0.0059, 0.0063, 0.008, 0.0061
12.0;18500;gusanoInv;2, 2, 0, 1, 1, -1, -1, 1, 0, -1, 2, 0;1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0113, 0.0104, 0.0077, 0.0055, 0.0056, 0.0106, 0.0138, 0.0057, 0.0055, 0.0056, 0.0076, 0.0049
12.0;19000;gusanoInv;2, 2, 0, 1, -1, 2, 0, 1, 0, -1, 2, 0;1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0244, 0.019, 0.0067, 0.0066, 0.0104, 0.0062, 0.0087, 0.0055, 0.006, 0.0061, 0.0078, 0.0063
13.0;19500;gusanoInv;2, 2, 0, 1, -1, 1, 2, 0, 2, -1, -1, -1, 0;1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.014, 0.0187, 0.0052, 0.0056, 0.0095, 0.0057, 0.0061, 0.0086, 0.0051, 0.0054, 0.0055, 0.008, 0.0063
12.0;20000;gusanoInv;2, 2, 0, 1, -1, 2, -1, 1, 0, -1, 2, 0;1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0249, 0.005, 0.0069, 0.018, 0.0087, 0.0058, 0.0075, 0.0045, 0.005, 0.005, 0.0066, 0.0053
12.0;20500;gusanoInv;2, 2, 0, 1, -1, 2, -1, 1, 0, -1, 2, 0;1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0129, 0.0067, 0.0109, 0.0057, 0.0107, 0.0093, 0.0095, 0.006, 0.0064, 0.0065, 0.0081, 0.0072
12.0;21000;gusanoInv;2, 2, 0, 1, 2, 0, -1, 0, 0, -1, 2, 0;1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0097, 0.0049, 0.0045, 0.0046, 0.0048, 0.0085, 0.0071, 0.0045, 0.0046, 0.0048, 0.0061, 0.005
12.0;21500;gusanoInv;2, 2, 0, 1, 2, 0, -1, 0, 0, -1, 2, 0;1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0125, 0.0063, 0.006, 0.0061, 0.0064, 0.0111, 0.009, 0.006, 0.009, 0.0071, 0.0081, 0.0064
12.0;22000;gusanoInv;2, 3, 1, 1, 0, 2, -1, 0, 0, -1, 2, 0;1, 3, 3, 1, 3, 3, 1, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0115, 0.0064, 0.0062, 0.0061, 0.0109, 0.0062, 0.0091, 0.0057, 0.006, 0.0068, 0.0078, 0.0065
12.0;22500;gusanoInv;2, 3, 1, 1, 0, 2, -1, 0, 0, -1, 2, 0;1, 3, 3, 1, 3, 3, 1, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0101, 0.0051, 0.0129, 0.0094, 0.011, 0.0063, 0.021, 0.005, 0.0049, 0.0051, 0.0063, 0.005
12.0;23000;gusanoInv;2, 3, 1, 2, -1, 2, -1, 0, 0, -1, 2, 0;1, 3, 3, 3, 1, 3, 1, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0094, 0.0053, 0.0052, 0.0052, 0.0082, 0.0051, 0.0079, 0.0066, 0.0055, 0.0049, 0.0065, 0.0049
12.0;23500;gusanoInv;2, 2, 0, 1, 2, -1, 0, 0, 0, -1, 2, 0;1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0163, 0.0092, 0.0127, 0.0084, 0.0088, 0.0147, 0.0134, 0.0086, 0.0083, 0.0089, 0.0111, 0.0101
12.0;24000;gusanoInv;2, 2, 0, 1, 2, -1, 0, 0, 0, -1, 2, 0;1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0116, 0.0057, 0.0061, 0.0058, 0.0061, 0.0108, 0.0125, 0.0058, 0.0059, 0.0064, 0.0078, 0.0072
12.0;24500;gusanoInv;2, 2, 0, 1, 2, -1, 0, 0, 0, -1, 2, 0;1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0113, 0.0055, 0.0051, 0.0052, 0.0052, 0.0089, 0.0073, 0.0049, 0.0051, 0.0076, 0.0063, 0.0054
