numeroIteracionMaxima;tipoDePartida;tipoFinal;tiempos;numeroPiezas;listaDePiezasSacadas;movimientoLs;girosLs
5;Pieza_Azar;!final_Por_AlturaMaxima;0.028, 0.0285, 0.0327, 0.0243, 0.0296;0, 4, 8, 12, 16;gusanoInv, cuadrado, te, gusanoInv, te;3, 3, 3, 2, 4;0, 0, 0, 1, 3
9;Pieza_Azar;!final_Por_AlturaMaxima;0.0181, 0.0166, 0.016, 0.0156, 0.0181, 0.015, 0.026, 0.0227, 0.0253;0, 4, 8, 12, 16, 20, 24, 28, 32;gusanoInv, ele, eleInv, palo, te, gusanoInv, cuadrado, cuadrado, cuadrado;3, 4, 0, 0, 0, -1, 2, 2, 2;0, 3, 0, 0, 0, 1, 0, 0, 0
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0186, 0.019, 0.0247, 0.0271, 0.0173, 0.0152, 0.0145, 0.0245;0, 4, 8, 6, 10, 14, 18, 22;te, ele, ele, cuadrado, gusano, gusano, gusanoInv, te;3, 4, 0, 4, 1, 1, 2, 4;0, 3, 0, 0, 1, 1, 1, 3
11;Pieza_Azar;!final_Por_AlturaMaxima;0.0213, 0.0197, 0.0189, 0.0164, 0.0154, 0.0315, 0.0341, 0.02, 0.0172, 0.0218, 0.0262;0, 4, 8, 12, 10, 14, 18, 22, 26, 30, 28;gusano, palo, gusanoInv, ele, palo, eleInv, te, te, palo, gusanoInv, cuadrado;3, 2, -1, 0, 2, 3, 0, -1, 0, 3, 3;0, 0, 1, 2, 1, 2, 0, 1, 0, 0, 0
6;Pieza_Azar;!final_Por_AlturaMaxima;0.0239, 0.0167, 0.0343, 0.0169, 0.029, 0.0272;0, 4, 8, 12, 16, 20;eleInv, palo, ele, cuadrado, te, gusano;3, 2, 4, 0, 3, 3;0, 1, 3, 0, 0, 1
12;Pieza_Azar;!final_Por_AlturaMaxima;0.0213, 0.0237, 0.0157, 0.0205, 0.0259, 0.0188, 0.0181, 0.0233, 0.0154, 0.0318, 0.0333, 0.0262;0, 4, 8, 12, 16, 20, 12, 16, 20, 24, 22, 26;palo, palo, gusano, palo, gusanoInv, palo, te, gusano, gusanoInv, palo, cuadrado, gusanoInv;2, 2, 3, -2, 3, -1, 4, 2, -1, -2, 3, 2;0, 0, 0, 1, 0, 1, 3, 0, 1, 1, 0, 0
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0171, 0.0345, 0.0226, 0.0219, 0.0148, 0.0188, 0.0459, 0.0356;0, 4, 8, 12, 16, 14, 12, 16;gusanoInv, ele, te, eleInv, te, palo, gusano, cuadrado;3, 4, 0, -1, 1, 1, 3, 4;0, 3, 0, 1, 1, 1, 0, 0
13;Pieza_Azar;!final_Por_AlturaMaxima;0.0196, 0.0186, 0.0162, 0.0156, 0.0178, 0.015, 0.0182, 0.0143, 0.0167, 0.0253, 0.0171, 0.0142, 0.0137;0, 4, 8, 6, 10, 14, 12, 10, 14, 12, 16, 20, 24;te, eleInv, te, gusanoInv, palo, eleInv, gusano, eleInv, ele, gusano, gusanoInv, gusanoInv, te;3, 3, 0, -1, -2, 1, 3, 3, 0, 1, -1, -1, -1;0, 2, 0, 1, 1, 1, 3, 2, 1, 3, 1, 1, 1
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0198, 0.0297, 0.0296, 0.0155, 0.0262, 0.0248, 0.0163, 0.0267;0, 4, 8, 12, 16, 20, 24, 28;gusanoInv, gusanoInv, gusanoInv, palo, gusano, gusanoInv, palo, cuadrado;3, 2, 3, 3, 1, 1, -2, 3;0, 0, 0, 1, 0, 0, 1, 0
9;Pieza_Azar;!final_Por_AlturaMaxima;0.0212, 0.0265, 0.018, 0.0161, 0.0228, 0.0143, 0.0141, 0.0145, 0.022;0, 4, 8, 12, 16, 20, 24, 22, 26;cuadrado, gusano, te, palo, gusano, te, gusano, gusano, gusanoInv;3, 3, 0, -2, 0, 1, 3, 3, 3;0, 0, 0, 1, 1, 2, 3, 1, 0
17;Pieza_Azar;!final_Por_AlturaMaxima;0.0194, 0.0154, 0.0175, 0.028, 0.0184, 0.015, 0.0175, 0.0146, 0.0178, 0.0145, 0.0145, 0.0172, 0.025, 0.0217, 0.016, 0.026, 0.0321;0, 4, 8, 12, 10, 8, 12, 10, 8, 12, 16, 20, 18, 22, 26, 24, 28;gusano, ele, gusanoInv, eleInv, te, ele, te, eleInv, ele, gusanoInv, ele, gusanoInv, cuadrado, gusanoInv, te, eleInv, te;3, 3, -1, 1, -1, 4, 1, 3, 2, -1, 0, 3, 2, 1, 4, 1, 1;0, 2, 1, 1, 1, 3, 0, 1, 3, 1, 2, 0, 0, 0, 3, 2, 0
