numeroIteracionMaxima;tipoDePartida;tipoFinal;tiempos;numeroPiezas;listaDePiezasSacadas;movimientoLs;girosLs
6;gusanoInv;!final_Por_AlturaMaxima;0.0109, 0.013, 0.0127, 0.0129, 0.0129, 0.0126;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0115, 0.0128, 0.0133, 0.0128, 0.0125, 0.0131;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0122, 0.0132, 0.0131, 0.0129, 0.0128, 0.0122;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.1475, 0.021, 0.0167, 0.0147, 0.0145, 0.0136;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0129, 0.0142, 0.0141, 0.0131, 0.0136, 0.0131;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0111, 0.0132, 0.014, 0.0129, 0.0132, 0.0127;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0115, 0.0134, 0.0133, 0.0127, 0.0136, 0.0129;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0122, 0.013, 0.0156, 0.0129, 0.0128, 0.0149;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0124, 0.0131, 0.013, 0.0123, 0.0127, 0.0123;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0108, 0.013, 0.013, 0.0127, 0.0125, 0.0122;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.011, 0.0134, 0.0134, 0.0126, 0.0127, 0.0129;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.011, 0.0133, 0.013, 0.0145, 0.0131, 0.0127;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.011, 0.0128, 0.0136, 0.0126, 0.0127, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0117, 0.0217, 0.0134, 0.0128, 0.0129, 0.0153;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0128, 0.0162, 0.015, 0.0142, 0.014, 0.0543;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0212, 0.0133, 0.0271, 0.0226, 0.0179, 0.0148;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0131, 0.0533, 0.0166, 0.0136, 0.0138, 0.0135;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0124, 0.0146, 0.0141, 0.0131, 0.0134, 0.0129;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0112, 0.0136, 0.0137, 0.013, 0.0136, 0.0126;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0126, 0.016, 0.0153, 0.0166, 0.0164, 0.0161;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
